name,city,neighborhood,summary
Rickshaw Dumpling Bar,New York,Midtown South,Anyone who has had Anita Lo's fusion of foie gras and Shanghai-style soup dumplings at her restaurant Annisa knows she is capable of considerable dumpling wizardry. But that magic isn't there at Rickshaw Dumpling Bar the dumpling shop in Chelsea where she consults. Some items have inched closer to deliciousness since it opened but much of the food still lacks oomph. 
Shake Shack,New York,Midtown South,Danny Meyer started the big-name simplicity and seems to have done it best. His restaurant group ran a Chicago-style hot dog cart in Madison Square Park for three years before the Parks Department let it build Shake Shack a permanent seasonal concession stand in 2004. Shake Shack presents an idealized jumble of a number of regional styles of junk food under one ivy-covered roof. Only the Chicago-style hot dog that paragon of American hot dog excellence is presented in an unadulterated form. And the salty meaty little burgers swaddled by potato rolls are so good that Shake Shack is swarmed with diners willing to wait 20 minutes or more to order.
Waldy's Wood-Fired Pizza &amp; Penne,New York,Midtown South,Waldy is Waldy Malouf the chef of Beacon on West 56th Street a restaurant with a reputation for wood oven cooking but not or not widely for its pizza. Here's the good news about his new pizza venture: toppings especially the more adventurous ones are largely top-notch. But the crust makes or breaks a pizza and at Waldy's prestretched dough sits in plastic-covered piles looking as uninspired as it tastes even after a journey through the wood oven in the back of the narrow space.
Momoya,New York,Chelsea,Momoya inhabits the Chelsea space that belonged to Meriken which also served Japanese food. A redesign has been done and a lovely one at that creating the kind of clean bright blond environment in which sushi seems to thrive. Momoya isn't a restaurant that seeks to captivate diners with blazingly original dishes. It doesn't aim big but it aims prudently and pleasingly. Its menu presents a now familiar breakdown of many appetizers and other small plates a smaller number of more conventional main courses a thicket of salads a tangle of noodles a bevy of sushi and sashimi and a litany of rolls. A special delight is a main course of broiled Chilean sea bass with lemon miso sauce.
La Esquina,New York,SoHo,With its sexy subterranean vault of a dining room its unmarked and sentry-patrolled door its air of exclusivity and mystery and its Mexican menu La Esquina is sort of like Studio 54 with chipotle subbing for cocaine. The food (taquitos quesadillas baby back ribs whole grilled fish) is always serviceable sometimes distinguished and less often exemplary. But there are scores of tequilas smartly chosen music and a unforgettable dÍ—‘©cor of weathered brick and wrought-iron gates that evoke prison bars. If the Phantom of the Opera hired Zorro as an interior decorator and asked him to do something in contemporary Torquemada the result might resemble this.
Zabb Queens,Jackson Heights,Woodside,Zabb Queens in Jackson Heights features the simple but interesting cuisine of the Isaan region of Thailand. Chilies are deployed with abandon in Isaan cooking. Fermented and salty flavors are prominent. Coconut milk is scarce. Salads particularly labbs (catfish and pork are the best bets) and the unripe papaya salad called som tum are a specialty of the region. Nam tok best with pork and goong sa duak with sweet grilled shrimp are also worth ordering. And the mixed seafood Thai hot pot is excellent and portioned generously enough to feed four.
Spigolo,New York,Upper East Side,In a charming and intimate but disruptively noisy room on the Upper East Side Spigolo serves honest earnest Italian and Mediterranean fare with a slight emphasis on seafood and an avoidance of any and all pretension. The restaurant is run by the husband and wife team of Scott and Heather Fratangelo. He minds the kitchen; she's the gracious hostess and it turns out the one responsible for the terrific desserts. If you navigate this menu in the right way heading toward the grilled baby octopus or the garganelli in a sweet sausage ragu you'll reach a very happy destination.
Saravana Bhavan,New York,Kips Bay,Generosity is a virtue at this Southern India-style restaurant. Take the kaima idli an enormous serving of chopped idli fried until crisp and sauteed in a sauce of spices and onions. It had an appealing touch of heat and I would have been satisfied with half the portion but that didn't stop me from eating the whole thing. And regretting it a little when served a Mysore onion dosa so large it extended well beyond the bounds of its platter.
Shimizu Sushi,New York,Clinton,When you walk into Shimizu a small serene Japanese restaurant on the edge of the theater district the first thing you notice is the sushi bar: slabs of glistening fish behind a transparent partition a hunched-over chef with a sharp knife and a balletlike grace and fluidity of movement. If you're smart you'll sample his handiwork because the sushi is lovely and prepared correctly. The slivers of fish aren't too cold. The rice cakes aren't too big and clumpy. Shimizu is a worthy stop for anyone who appreciates first-rate sushi and tempura and happens to be in this section of town.
Taboon,New York,Clinton,At Taboon a Middle-Eastern inflected restaurant in the Clinton section of midtown Manhattan it's all about the oven: a brick-walled cement-coated wood-burning hive that's situated near the entrance and grabs your attention the minute you walk in the door. Taboon in fact is an Arabic word for oven. The restaurant uses its star cooking implement for a terrific roster of dishes such as halibut in a tomato and red pepper ragout. The hummus spiked with jalapeno is terrific and the falafel crowned with a dollop of pickled mango is even better. Service fluctuates from vigilant to spectral.
Coals,The Bronx,Morris Park,Coals is unlike any other pizza place in the Bronx Í¢‘„‘î or in the rest of the city for that matter. The pies it slings are not coal oven wood oven or oven baked at all. They are grilled. All of Coals' pizzas (and two of its desserts) start out as lumps of pizza dough made with white flour whole wheat flour and cornmeal. The whole wheat imbues the finished crust with a fuller flavor than some other pizzas; the finely ground cornmeal lends an appealingly gritty textural note. Overnight fermentation of the dough imparts an appreciable tang that's amplified by the charred flavor from the grill. The pizzas stretched by hand range from almost oval to nearly rectangular in shape; all are striped with tar-black grill marks and speckled with tiny burst air bubbles on both sides. The best bets are those that count tomato among their toppings Í¢‘„‘î they add a balancing sweet note--and those that aren't overloaded dragging the dough down with them.
Breeze,New York,Clinton,At Breeze an electric Thai-French fusion place in Clinton the food has plenty to compete with but what's on the plate wins. The menu which uses words like glacÍ—‘© and gastrique is a quilt of influences patched together by Jeff Hardinger. Many recipes riff on classics elevating rather than reinventing the original dish. The soups are standouts as are the pork belly sandwich the duck confit salad and the pork loin with glass noodle sausages. For drinks stick with beer; the cocktails don't do anything for the food.
Gusto Ristorante e Bar Americano,New York,West Village,In a big way Gusto Ristorante e Bar Americano goes entirely with the flow. In smaller ways it swims against the current. It's conformist and contrary familiar and unexpected leaning on a cuisine of amply proven popularity but then giving it shadings and a kind of showcase that it doesn't always get. The chef Jody Williams won many fans in her previous outings at Il Buco and Giorgione but I don't think she has fully honed her act or fine-tuned the operation of the kitchen at Gusto just yet. 
BarbÍ—‘Îs,New York,Midtown South,The food at BarbÍ—‘Îs is maddeningly uneven but some of it has the straightforward satisfying appeal of bistro fare. The Moroccan dishes aren't necessarily the better ones but they're the most interesting because they're the least commonplace. Arguably the best appetizer is a salad sampler that showcases the restaurant's hummus and its zaalouk a divinely smoky mash of eggplant tomato cumin paprika and lemon juice. The tagines disappoint but the couscous was good in all circumstances.
The Red Cat,New York,Chelsea,By turns cozy and sexy laid-back and fleet the Red Cat is that rare split-the-difference place that has sophisticated food but not a whiff of arrogance that simmers attractively without sizzling flamboyantly. It's a restaurant Rorschach different things at different times to different people mining a culinary middle ground between Continental and new American timeless Mediterranean and of-the-moment Manhattan. And it's immensely appealing.
Cafe Steinhof,Brooklyn,Park Slope South,With its wraparound windows and neon sign Cafe Steinhof in Park Slope is just about New York's homiest Austrian outpost. The cooking is simple the preparation often slapdash and a full meal can be had for less than $15. Highlights include sauerbraten goulash spaetzle sausages with sauerkraut and for dessert linzer torte.
Stanton Social,New York,Lower East Side,The Stanton Social doesn't have designated entrees or appetizers just scores of dishes to be shared. Those dishes include potato and goat cheese pierogies meatballs in tomato sauce beef Wellington and French onion soup made into individual dumplings. Welcome to a veritable canapÍ—‘©-a-palooza and welcome to the restaurant as iPod play list: all favorites and no filler a compendium of highlights with no allegiance to a single source of inspiration. It's an ideal restaurant for people with commitment phobias or attention deficits. In fact it's a pretty good (albeit very uneven) restaurant in general thanks to the talent and imagination of the chef Chris Santos.
Sabry's,Astoria,Astoria,No one is going to Sabry's an Egyptian spot in Astoria for its looks. They are going for fish. Whole fish are available baked and grilled. The waiters if you prompt them will encourage you to go with the baked option. Follow their lead. Baked or grilled the fish are seasoned with lemon oil and cumin cooked quickly and expertly and served without adornment save a sprinkling of fresh herbs. The tagines are also excellent as are the fried seafood combo and grilled octopus. Note that no alcohol is served or allowed in the restaurant.
The Islands,Brooklyn,Prospect Heights,The quirks make the Islands a tiny Jamaican spot in Brooklyn feel like a home kitchen but it's the food prepared with unwavering care that makes it worth a visit. Highlights include jerk leg of lamb curry goat curry shrimp and though you probably won't have room bread pudding for dessert. If you don't feel like waiting for food downstairs there are steep stairs leading to a dining loft lighted with candles and decorated with seashells parrots and floral prints that feels like a secret hideaway. Once there you'll want to sip homemade concoctions like gingery limeade sweetened with brown sugar and sorrel so heavily steeped and spiced it seemed spiked.
Koi,New York,Midtown South,It's big bold and delightfully kooky with a latticed white canopy that evokes the honeycombs of a beehive or the strands of a spider's web. But in the end Koi seems much more invested in eye-popping props and pulse-pounding music than in the performance of its kitchen which commits too many errors and turns out too many duds for a restaurant this vain and expensive. The cuisine is Japanese fused at times with other genres and with luck you can have an intriguing and even delightful meal. But that outcome is much less certain than the sexy vibe.
Periyali,New York,Flatiron,When Periyali opened in 1987 upscale Greek was an oxymoron a gyro-defying leap of imagination and faith. This restaurant has changed little since then promising diners a lulling antidote to the restless innovation and runaway imagination in so many other restaurants. None of the food wows most of it quietly impresses. The octopus appetizer and the lamb chop and moussaka entrees are particularly fine. The mixed Greek olives that are start a meal are a happy greeting and a happy goodbye comes in the form of creamy Greek yogurt with honey and walnuts. Some diners might find Periyali to be a bit of a yawn. I prefer to think of it as a pleasant sigh. -- Frank Bruni
Uva,New York,Upper East Side,Uva the offspring of Lusardi's an old-school Italian haunt up the block seems like the wild child of that starched stalwart with a kitchen that is up till 2 a.m. and a design borrowed from the shabbier if more chic districts downtown. The menu draws from rustic kitchens up and down the Italian peninsula but its execution is more elaborate. Highlights include chisolini ricotta gnocchi scallops wrapped in speck and all desserts.
Tsukushi,New York,Murray Hill,The wood-paneled walls at Tsukushi just off the bustle of Second Avenue where 41st Street heads uphill toward Tudor City give it the look of a seventies rec room. But the chef Norihiko Manabe has a real talent for orchestrating a meal. He works alone or with one other cook devising six- or seven-course menus and dispatching the food himself darting in and out of a kitchen hidden behind louvered shades. Selection changes nightly Í¢‘„‘î everything is omakase chef's choice Í¢‘„‘î but highlights have included country-style stews sashimi and very unusual shumai in which sticky rice stands in for wonton wrappers. 
Cafe 2 and Terrace 5,New York,Midtown,The Modern a glossy upscale restaurant attached to the museum includes a casual barroom but the Modern is as much a stand-alone entity as an appendage: you don't need to visit the museum to dine here. Cafe 2 and Terrace 5 in contrast are accessible only to visitors to the museum and are deep inside it. That they are intended to be more than just refueling stations for art lovers with empty stomachs is obvious in their pedigree: they are under the supervision of Danny Meyer and the Union Square Hospitality Group. It's also obvious in their menus and in the care taken with the way they look. Highlights at the Cafe include the buffalo's milk mozzarrella and creamy sheep's milk ricotta with roasted beets. Terrace 5 concentrates more on desserts.
Gari,New York,Upper West Side,Gari is the spawn of Sushi of Gari an unadorned uncomfortably jammed cranny on the Upper East Side with a cult following. In this case the child improves upon the parent providing a more serene Í¢‘„‘î though by no means spacious Í¢‘„‘î setting and going beyond sushi and sashimi to offer cooked dishes. But raw or barely cooked fish remains the star and rightly so: the quality of it is very high and Gari makes artful compositions out of sushi gussying it up more than it typically is. My one big quibble with this restaurant is its expensiveness which seems out of synch with the neighborhood and with the matter-of-factness of the service and ambience.
Picket Fence,Brooklyn,Ditmas,If you're allergic to cute stay away from Picket Fence. It oozes from this place like cream from a profiterole. But if you can stand it or better yet delight in it you're in for some good eating. Unlike the decor the menu doesn't play it too precious running instead to seasonal American standards that are carefully prepared like a nicely charred cheeseburger on a feathery brioche bun.
Duane Park,New York,NoHo,This restaurant and nightclub which closed in TriBeCa in February has reopened on the Bowery.
Mojito,Brooklyn,Clinton Hill,At Mojito new dishes mix amiably with Cuban classics fruity drinks haven't pushed a selection of fine rums off the menu and Cuban kitsch doesn't overwhelm the Brooklynness of the place. The concoction is well balanced like a good cocktail. Recommended dishes include tostones rellenos pernil moros y Cristianos and the fine Cuban sandwich.
Taci's Beyti,Brooklyn,Sheepshead Bay,Taci's Beyti a warm comfortable kebab house is all about family. It's been that way almost from the day Taci Bek opened the doors in 1988. Ersin Bek his son runs the restaurant with a crew of Turkish cooks who haven't changed the menu much since the start. Nor should they. The food here is as homey and reliable as the atmosphere. Highlights include: leek or artichoke meze eggplant purÍ—‘©e fried liver cubes French fries lamb casserole kebabs and kunefe a sweet cheese layered with shredded dough and drenched in honey syrup
Dinosaur Bar-B-Que,New York,Harlem,New York may never be a great barbecue town. Still the hopes of barbecue-loving New Yorkers were lifted when the owners of the beloved Dinosaur Bar-B-Que of Syracuse turned a drafty former meatpacking house in West Harlem into their third outlet. Much of the place reeks of BBQ Disney. More importantly rather than a heady combination of smoke fat and spice the defining flavor profile is sweet. The meat comes from big black computerized smoking pits in a back room vented to high heaven and fueled with a mix of apple and hickory woods. But the mix of technology and wood isn't working. There are a few good barbecue moments to be had (the brined half-chicken the satisfying pork shoulder) but it will take something short of a miracle to turn Dinosaur Bar-B-Que into the barbecue refuge New Yorkers have been hoping for.
Lure Fishbar,New York,SoHo,Fashioned to evoke the teak-paneled cabin of a luxury yacht Lure Fishbar makes a nifty visual promise of communion with the high seas. But with several of its raw and cooked dishes it fails to trust the fruits of those waters letting the condiments steer the ship. The atmosphere is seductive and the quality of the seafood is very fine so oysters are a smart choice and relatively unadorned entrees like surf and turf are likely to please. (So do the ice cream sandwiches an irresistibly hokey dessert not to be missed.) But other dishes are subjected to excessive intrusive primping. It's mutiny by a bounty of relishes and vinaigrettes.
Krystal's Cafe,Queens,Woodside,The preparations at Krystal's Cafe in Woodside like the chicken adobo and pancit bihon are simple and straightforward. The short rib-tamarind soup is invigorating and appetite-stirring unusual and welcome attributes for a short rib dish. Vegetable dishes are a waste of calories you should spend on barbecue like the marinated grilled pork belly. If you're out for adventure there is a pork blood stew on the menu.  But the truth is Filipino cuisine is as homey and accessible as any kind of cooking.
La Masseria,New York,Times Square Theatre District,La Masseria isn't one of the best Italian restaurants in the city and it won't give you the meal of your life or even your month. But it does what many a respectable restaurant should: suits a given set of circumstances and solves a riddle of requirements. Where do you go if your evening is taking you to a Broadway show if you want to eat just a few paces from the theater and if you want something that feels wholly comfortable and a bit indulgent but not reckless? You go here to a spacious dining room decorated to evoke the feel of a farmhouse. That design is a cue for hearty fare the best of which includes a fritto misto of seafood a pasta dish with eggplant and smoked mozzarella and a gigantic juicy veal chop. Skip desserts which are not the restaurant's strong point.
Spike Hill,Brooklyn,Williamsburg,At Spike Hill a cozy tavern with dark wood and good beer in Williamsburg Brooklyn the meal practically sells itself. Fish and chips is as emblematically British as it gets; Spike Hill's version is perfectly executed. The burger is a serious misfire but the steak is fatty and well seasoned and a disarmingly good deal. The inviting bar that runs most of the length of the space has a wide selection of beers from pubby stalwarts you'd expect on tap like Guinness and Old Speckled Hen to off-kilter American bottles like Bear Republic Hop Rod Rye or Victory Brewing's Golden Monkey. 
Casa la Femme,New York,West Village,The nature of your response to Casa la Femme North which serves Egyptian food in an ersatz Alexandria under the Queensboro Bridge largely boils down to this: How much music and midriff do you like with your mezes? The belly dancer begins whirling through the dining room after 9 p.m. so you can avoid the show by supping early. But there's really no escaping Casa la Femme North's facile exoticism built around such obvious props as palm fronds and shisha (a.k.a. hookah) pipes and such over-the-top indulgences as the private tents that ring the dining room. If this brand of sybaritic adventure suits you then by all means go because the food Í¢‘„‘î from hot pita with tahini to perfectly grilled chicken and lovely lamb Í¢‘„‘î is impressive. Make sure not to miss the superior baklava
Maggie Brown,Brooklyn,Clinton Hill,Named after the grandmother of one of the owners Maggie Brown's menu reflects notions of international grandma cuisine a mishmash of Mexican Italian French Asian and Southern dishes that is frustratingly unfocused. In spite (or maybe because) of this it is of those quirky neighborhood fixtures where you can always find something you are craving. Maggie Brown is at her best during weekend brunch when the sun streams in through the windows and the kitchen turns out fluffy stacks of pancakes and sizable omelets. For dinner there's simple charred hanger steak with garlic butter and greaseless cornmeal-crusted fried chicken.
En Japanese Brasserie,New York,West Village,En Japanese Brasserie does artisanal tofu and burdock root. Its claim is Japanese home-style cooking and the spirit of the izakaya a Japanese pub. But what is so paradoxically striking about En Japanese Brasserie is how familiar and redundant it feels how faithfully this transglobal translation of an izakaya follows a Manhattan formula: somewhat hip location; large visually arresting space; long menu that emphasizes small plates and accommodates rampant carbohydrate phobias. Less ascetic diners can try special rice dishes which are like much of the food: satisfying at the moment of ingestion; forgotten 30 minutes later. To wash it down there are many varieties of sake and shochu.
Frankies 457 Court Street Spuntino,Brooklyn,Carroll Gardens,At least partly because of their gravy the two Frankies who run this casual brick-wrapped restaurant Í¢‘„‘î Frankie Castronovo and Frankie Falcinelli Í¢‘„‘î quickly won over their Carroll Gardens neighborhood. Loose-tied locals wander in after work for a glass of cabernet franc and maybe a crostino before dinner. Beyond that the chefs have adapted Italian-American recipes in the way that cheap-and-chic trattorias made regional Italian trendy with better-than-usual ingredients a dash of nostalgia and some creative interpretation. The antipasto plate and sandwiches are always good ways to go.
DÍ—‘©vi,New York,Union Square,There are restaurants that bring you back to yourself and those that spirit you away. Devi belongs to the latter group. It casts its spell visually with glowing blue and red and yellow lights and it works its exotic magic through its take on Indian food more varied multidimensional nimble and surprising here than at the scores of samosa factories throughout these vindaloo-bewitched precincts. The chefs Suvir Saran and Hemant Mathur who worked together at Amma do not feel bound by your expectations. Yes you can have chicken tikka masala but your server will more likely steer you toward crispy fried okra yam dumplings Manchurian cauliflower and less familiar dishes. The prawns and lamb were cooked perfectly in the tandoor. But chicken and beef did not fare as well and a few dishes were pricey in relation to the portions. 
Mancora,New York,East Village,Mancora caters to East Villagers and a raucous subset of them at that. Its jaunty room is buoyant with sangria-sipping crowds and South American soundtracks especially on weekends. Peruvian cooks have a way with rotisserie birds; here the chicken is tongue-numbing marinated in sticky-sweet dark beer then rubbed with garlic oregano and fennel and roasted to a blackened crisp and juicy underneath. As long as the kitchen is not overwhelmed grilled dishes like nicely marbled sirloin are worthy. The rest of Mancora's menu hits and misses. But if you know what you're looking for and it happens to be ceviche or chicken or a night on the town you will leave pleased. That's particularly true if you discover the dense eggy baked flan drenched in dark caramel before you depart.
Sripraphai,Woodside,Woodside,Too many Thai restaurants in this country and this city temper the heat of Thai cooking and amplify the sweetness in dishes as concessions to American palates. Sripraphai in the Woodside section of Queens maintains the more finely nuanced balance that this wonderful Asian cuisine is supposed to have. The spices are less muted and the herbs fresher than at most Thai restaurants. The meat is more tender. Among many wonderful boldly flavored dishes try the sauteed &amp;quot;drunken'' noodles the roasted duck salad the pickled barbecued pork. The atmosphere is unremarkable seafood dishes were disappointing and desserts are limited but the inexpensive prices make the bang for buck here atomic.
Kuma Inn,New York,Lower East Side,Kuma Inn serving a kind of Asian tapas is an auteur restaurant if there ever was one sprung entirely from the chef King Phojanakong's imagination. The dishes are tapas in theory and price structure only. Excluding the cheapest plates Í¢‘„‘î shumai with belly-punches of wasabi and steamed edamame slick with lime-basil oil and sea salt Í¢‘„‘î they're not that diminutive. Seared sausage with caramelized onions and sticky rice and tiny steamed mussels are both excellent. The priciest dishes like pan-roasted striped bass are more elaborate.
Indochine,New York,East Village,I cannot remember many details of my visits to Indochine in the 1980's but I vividly recall how special it felt to be there. Just sitting amid the tropical-bordello decor made me feel that a bit of the glitter of its fabulous clientele would rub off on me. Food was beside the point. Indochine was the apotheosis of an extremely profitable idea: the downtown restaurant as badge of knowingness and belonging. Indochine as it once existed inevitably died. It has become a museum more or less that draws young people who consider it an anachronistic hoot patrons of the Public Theater who need a nearby trough and tourists who do not know any better.
Yakitori Totto,New York,Midtown,On a quiet bit of 55th Street that caters to a largely Japanese crowd Yakitori Totto sits up a long set of stairs from Sugiyama a well-regarded kaiseki restaurant at street level. The restaurant takes the chicken as its symbol and though the menu has something to sate the craving of every meat lover chicken is the focus. All the dark meat is good; liver is crisped and charred outside succulent within. Nuggets of chicken grilled with negi a robust cousin of scallions is essential as is shishito peppers stuffed with minced breast meat. But chicken is the tip of the iceberg. There is also a full menu of omelets fried chicken and tofu dishes that are expertly executed.
Kittichai,New York,SoHo,In Kittichai's liberally and fantastically interpreted Thailand the orchids do not bloom in vases on the tables. They twist in an ersatz spider web above a dark reflecting pool in the center of the dining room. Dinner here is not so much like a night in Bangkok as a night in Bangkok in a David Lynch movie and lucky for us the gustatory pleasures rise almost to the level of the visuals ones. Thai ingredients and seasonings are used with the kinds and quality of meats that your neighborhood Thai restaurant may not have. There is Chilean sea bass in a glaze of palm sugar and red curry paste monkfish in a yellow curry and best of all braised short ribs in a green curry. A few dishes do not work but many more do.
Ici,Brooklyn,Fort Greene,A tall maple tree shades the Brooklyn backyard of Ici a sweet restaurant full of unpretentious pleasures just like that broad canopy of leaves. The greens in salads are fresh and sensibly dressed. The skate is nicely cooked. The wine list is interesting focusing on small European vineyards that use biodynamic techniques. There is both sophistication and good sense in this Fort Greene bistro and in its French owners Laurent and Catherine Saillard who also serve a pleasant breakfast.
Minca,New York,East Village,Shigeto Kamada says he despaired of finding good ramen in New York. So he taught himself to make  it by reading books and watching videos. Now he is satisfying similar appetites at Minca a little ramen shop he opened in the East Village. He calls Minca a ramen factory but there is little about the place that suggests an assembly line. If you take a seat at the bar and order the basic ramen you can watch Mr. Kamada assemble it before you. When it comes to eating the ramen experience can be a bit like taking a steam bath yet the ramen is so good that you do not want to stop.
Kombit,Brooklyn,Prospect Heights,The food at Kombit is homey and affordable and those new to Haitian food could not ask for a better introduction. Kombit refers to the Haitian tradition of communal farming and feasting and so the dining room is decorated with agrarian scenes. Most tables begin with fritay lakay a generous sampler including plantain battered sweet potatoes and fritters that deliver a creamy whoosh of yautia a Haitian root. There are a few disappointments but Kombit like many traditional Haitian kitchens has a wonderful way with fish as long as you like red snapper (it is the only fish served) and do not mind bones heads and tails. The real star of the restaurant is the piklis a sinus-clearing cabbage-carrot slaw which comes with everything.
Tulcingo Del Valle,New York,Clinton,Though New York has increased its Mexican options we still need places like Del Valle where the menu is hopelessly traditional but the food is fresh bright and satisfying.  The amenities of Del Valle which has transformed itself from a glorified deli into a modest restaurant are few but appealing especially in the impersonal wilds of Clinton. And it has a huge menu of simple classic Mexican lunch-counter food with a few real gems: the tacos tortas (sandwiches) and the hard-to-find cemita a sesame-seed roll stuffed with mild cheese whole chipotle peppers roast meat avocado and papalo an herb that tastes like the love child of cilantro and arugula.
Wolfgang's Steakhouse,New York,Midtown South,Named for Í¢‘„‘î and partly run by Í¢‘„‘î a former head waiter at Peter Luger in Brooklyn Wolfgang's Steakhouse tries to replicate the beefy rapture of that carnivores' temple on the Manhattan side of the East River smack in Midtown. To assess that attempt a friend and I ate Steak for Two (a mammoth porterhouse) at Wolfgang's shortly after 6:30 one night and then shortly before 9:30 Steak for Two (another mammoth porterhouse) at Luger. Luger won the contest Í¢‘„‘î but not by much. The steaks at Wolfgang's are plenty terrific: nicely charred on the outside tender deep within and full of flavor. Wolfgang's offers more seafood and salad options than Luger though a few of these deviations from the steakhouse norm yield less than exciting results. Avoid the swordfish. Embrace the tuna. But really eat the beef. That's what this is all about.
Megu,New York,TriBeCa,Without a machete and a G.P.S. device there is no easy way to navigate the thicket that is Megu's menu: seemingly infinite iterations of toro and Kobe sushi and sashimi. Are these starters or main courses? Best eaten in a certain sequence? Neither the menu nor the servers make that wholly clear. If it reined itself in it might be one of the most thrilling dining experiences in the city. It occupies a colossal space in TriBeCa that has been spectacularly designed. Its chef Koji Imai making his American debut puts top-tier ingredients to often sumptuous use. You will pay dearly for this pleasure: a meal at Megu can easily cost $100 for the food alone and that indeed seems like too much except when you are eating the sauteed shrimp in a citrus and pepper cream sauce. Like many of the too-many dishes at Megu it's a knockout.
Loreley,New York,Lower East Side,Loreley an urban beer garden on the Lower East Side has a simple but satisfying menu. With wursts from Schaller &amp; Weber the traditional German butcher in Yorkville the restaurant caters to New York's downtown expatriate German community and the hipsters who love them--and their beer. Many menu items are variations on the sausage theme including the sausage platter which comfortably feeds two.
Balthazar,New York,SoHo,It is never easy getting in but once you are at your table your cocoon the charms of Balthazar take over. The menu is much the same as always. Most of the best dishes are still there and so are the less successful items; highlights include the goat cheese tart the seafood platter the Balthazar salad steak frites and for dessert the tarte Tatin and the profiteroles. Balthazar is animated from early in the morning to late at night by diners who treat it like a brasserie rather than a sanctified restaurant. That atmosphere Í¢‘„‘î fake French authentic New York Í¢‘„‘î buoys the room. 
Craftbar,New York,Flatiron,Craftbar which Tom Colicchio opened at the beginning of 2002 to serve as Banana Republic to his more Prada-like Craft restaurant next door is a spare welcoming room serving simple comforting food.
CafÍ—‘©cito,New York,East Village,CafÍ—‘©cito a sweet little restaurant on Avenue C was opened with the intention of offering authentic Cuban dishes tempered by contemporary American dietary customs. That is cooking techniques are lighter than is traditional and such flavorful additions as lard and pork fat are banished. The food is very good Í¢‘„‘î not great but enjoyable Í¢‘„‘î and the restaurant two adjoining storefronts that have been connected is always pleasant. Highlights include vaca frita flank steak marinated in mojo fried until its strands begin to separate into crisp tendrils and topped with pickled onions; and a fine traditional Cubano sandwich.
Alta,New York,Greenwich Village,Alta is just about the smartest small-plate restaurant I have seen in New York: the elements of food wine and ambience all come together. The chef Harrison Mosher had been a sous-chef at 71 Clinton Fresh Food. His assignment was to create a menu of small plates using flavors and ingredients from around the Mediterranean and this he has done cleverly. Each meal at Alta was a natural unforced pleasure. Inevitably I imagine some people will complain about small portions. All I can say is they work for me.
Wallse,New York,West Village,With Kurt Gutenbrunner the chef and owner of WallsÍ—‘© what you see is what you get and that carries over to his candid menu. And that among other reasons is why the restaurant continues to thrive despite a wealth of competitors creeping into the neighborhood. Not much has changed in the restaurant's decor and Mr. Gutenbrunner has also remained loyal to his menu. Once seen as a pioneer among chefs he has not been fazed by contemporaries like Ferran AdriÍ—‘_ and Thomas Keller.
Landmarc,New York,TriBeCa,Nothing about Landmarc in TriBeCa is high concept. The space is comfortably dim which softens its industrial edges. The Chinese-restaurant-size menu reads like a studied survey of America's mainstream styles of cooking. Risotto and pastas mix with a section on mussels. Steaks are served with a choice of sauce. If you are in a bistro mood there is foie gras terrine and if you are hankering for American fare there is a grilled pork chop with spinach and apples. Its wine list includes a strong list of half bottles just the thing for a weeknight when you are out with friends in your favorite new neighborhood restaurant. Artichoke foam is all well and good but most of the time most of us would rather just have a thoughtful meal we can count on.
BLT Steak,New York,Midtown East,BLT Steak (the initials stand for Bistro Laurent Tourondel) feels like anything but a steakhouse. On the communal table vases are packed with trimmed leeks and the banquettes are covered in buttery suede. Mr. Tourondel was the chef at Cello a restaurant on the Upper East Side that specialized in seafood. Here his focus is on meats in primal cuts. The hanger is by far the most flavorful. It is difficult to save room for dessert but you should.
La Bottega,New York,Chelsea,The trattoria-style menu at La Bottega in the Maritime Hotel is long and populated with dishes that focus in Italian style on one or two ingredients. Fried artichokes with truffle oil. Fennel with blood orange. Prawns with sea salt. The choices are appealing yet numbing. It is a menu everyone has read before. Ravioli filled with butternut squash?  It's on there. Braised lamb with polenta? Check. Panna cotta? Of course. There are a few delights among the offerings but they cannot make up for the slough of irksome duds. At night La Bottega fills up mysteriously and the din can make it seem like a party in an empty swimming pool. But at lunch it is serene.
Shanghai Pavilion,New York,Upper East Side,Shanghai Pavilion is not just sleek but inviting its cool modernistic black and red color scheme warmed by brick. The waiters wear ties the host a dark suit and the tables are covered in thick linens yet the service is pleasant and informal. And whether humble street snacks or elaborate banquet preparations the food is lively and balanced emphasizing the lightness and delicacy for which Shanghai cooking is known. Order the lion's head casserole with baseball-size pork dumplings soft enough to cut with chopsticks served in a savory soy broth with onions and greens. Red-cooked carp's belly in a tangy ginger and vinegar sauce is not as elaborate but no less delicious.
La Nacional,New York,Chelsea,La Nacional a quirky cantina nestled into a storefront that serves as a gathering spot for Spanish expatriates has a bar tables for cards and a small rustic dining room which serves tapas and a few main courses. The doorway to the street is unmarked and as you enter a hallway and stand before an equally unmarked interior door it is possible to imagine you are stepping into a speakeasy. Main courses are simple enough: a chewy but flavorful steak a clutch of tiny lamb chops bathed in garlic and a soothing seafood casserole. The paella a dish that elsewhere often disappoints is as beautiful to look at in its pan as it is to eat. La Nacional understands the crucial point about paella that the rice is the single most important thing about the dish not the additions. If you want to linger listening to Spanish popular music or eavesdropping on another table debating politics you could do worse than a flan flavored with cinnamon and nutmeg. 
